IP,Port,Protocol,Status,Service
192.168.1.60,713,TCP,Free,
192.168.1.60,707,TCP,Free,
192.168.1.60,706,TCP,Free,
192.168.1.60,746,TCP,Free,
192.168.1.60,750,TCP,Free,
192.168.1.60,714,TCP,Free,
192.168.1.60,717,TCP,Free,
192.168.1.60,719,TCP,Free,
192.168.1.60,723,TCP,Free,
192.168.1.60,736,TCP,Free,
192.168.1.60,744,TCP,Free,
192.168.1.60,712,TCP,Free,
192.168.1.60,711,TCP,Free,
192.168.1.60,702,TCP,Free,
192.168.1.60,709,TCP,Free,
192.168.1.60,704,TCP,Free,
192.168.1.60,724,TCP,Free,
192.168.1.60,739,TCP,Free,
192.168.1.60,749,TCP,Free,
192.168.1.60,715,TCP,Free,
192.168.1.60,722,TCP,Free,
192.168.1.60,728,TCP,Free,
192.168.1.60,705,TCP,Free,
192.168.1.60,742,TCP,Free,
192.168.1.60,734,TCP,Free,
192.168.1.60,751,TCP,Free,
192.168.1.60,756,TCP,Free,
192.168.1.60,757,TCP,Free,
192.168.1.60,762,TCP,Free,
192.168.1.60,759,TCP,Free,
192.168.1.60,791,TCP,Free,
192.168.1.60,799,TCP,Free,
192.168.1.60,794,TCP,Free,
192.168.1.60,785,TCP,Free,
192.168.1.60,774,TCP,Free,
192.168.1.60,795,TCP,Free,
192.168.1.60,753,TCP,Free,
192.168.1.60,778,TCP,Free,
192.168.1.60,771,TCP,Free,
192.168.1.60,781,TCP,Free,
192.168.1.60,783,TCP,Free,
192.168.1.60,784,TCP,Free,
192.168.1.60,800,TCP,Free,
192.168.1.60,796,TCP,Free,
192.168.1.60,776,TCP,Free,
192.168.1.60,793,TCP,Free,
192.168.1.60,777,TCP,Free,
192.168.1.60,775,TCP,Free,
